image_id,labels,transcriptions
20,Misogyny," എല്ലാവർക്കും സ്വാതന്ത്ര്വ ദിനാശംസകൾ ! 
ബിവി* ങ്ഹും ! 
സ്വാതന്ത്ര്യ ദിനമായിട്ടും നിനക്കെന്താ സന്തോഷമില്ലാത്തെ ! 
നിങ്ങൾക്ക് സ്വാതന്ത്ര്യം കിട്ടുന്നതുകൊണ്ട് കൊണ്ട് എനിക്കെന്ത്"
265,Not Misogyny,ഐഡിയ 4G ഹമ്പിൽ - മലയാളം വീടിന്റെ മുറ്റത്ത് 2G വിടിന്റെ ഹാളിൽ എന്റെ റൂമിൽ
773,Not Misogyny,"KOK യുടെ ടെയിൽ ഏൻഡ് കണ്ട
ഹലോ !
രാജു മദ്രാസ്. ഷിംല മേ ക്വാ ഹാൽ ഹെ
തീർക്കാൻ പറ്റുമെങ്കിൽ തീർക്കെടാ
കണ്ടു തീർത്ത ഞാൻ
IMM ഇതന്നെ തീർക്കാൻ കഷ്ടപെട്ടു ! 2nd പാർട്ട് ഇറക്കി കഷ്ട്ടപെടുത്തല്ലേ
മലയാളം"
324,Not Misogyny,"ബിഗ് ബോസിലെ പുതിയ മൽസരാർത്ഥികളെ കാണുന്നെ..
ഞാൻ
ഇവരൊക്കെ ആരാ..?"
601,Misogyny,കമ്പി മുഖം . പൊട്ടാറായി നിക്കുന്ന മുല വീപ്പ കുണ്ടി ക തുടുത്ത ചുണ്ട് മൊത്തത്തിൽ വെണ്ണ കട്ടി  ഇവളെയൊക്കെ ഭാര്യ ആയികിട്ടിയാൽ എന്റെ പൊ
241,Not Misogyny,"# +2 ഡാ മോനെ, ഇന്നെന്റെ റിസൾട്ട് നി അവിവേകം ഒന്നും കാണിക്ക്. #SSLC സൂത്രശാലിയായ കറുക്കാനാണ് നീ. 
എന്റെ SSLC റിസ നമ്പർ ഫാമിലി ഗ്രൂഹിൽ ഇട്ടപ്പോ നി ഓർത്തില്ല എങ്കിലും അം MRS... ഞാനതിന് പ്രതികാരം 
ചെയ്യുമെന്ന്. അഹാ നി മ മാറ്റി. അപേക്ഷയുടെ സ്വരയുമായി വന്നിരിക്കുന്നു അല്ലേ"
283,Not Misogyny,"അസംബ്ലിയിൽ ഒരു കുട്ടി തലകറങ്ങി വീണപ്പോൾ
4B യിലെ മനു മോഹന്റെ വീടിനു അടുത്തുള്ളത് ആരാ..?
ക്ലാസ്സ് ഉഴപ്പൻ *10
സ്കൂളിന് പുറത്തിറങ്ങിയപ്പോൾ
മോനേ..നിന്റെ വീട് എവിടേണ് നാട് എവിടേണ്..!?"
521,Not Misogyny,"MT
ഒരു മികച്ച കുടുംബ ചിത്രം കാണാൻ
കാത്തിരിപ്പ് ഇനി
ഒക്ടോബർ 26 വരെ മാത്രം"
184,Not Misogyny,"പരീക്ഷ കഴിയുമ്പോൾ *ഞാൻ  ഞാൻ പൊട്ടും *ചങ്ക് ഞാനും 
റിസൾട്ട് വരുമ്പോൾ"
406,Not Misogyny,"ഒറ്റപ്പെടലും ഡിപ്രെഷനും ആരുടെയും സഹായം ഇല്ലാതെ അതിജീവിച്ചുകഴിഞ്ഞാൽ....
* പിന്നീട് ജീവിതത്തിൽ വരുന്ന പ്രശ്നങ്ങൾ
@കാഞ്ഞിരപ്പള്ളി പാപ്പൻ
"
566,Misogyny,എല്ലാ പെണ്ണുങ്ങൾക്കും ഫോർപ്ലേയ് ചെയ്യുന്ന സമയത്ത് പൂറും കഴുത്തും കഴിഞ്ഞാലുള്ള സോഫ്റ്റ് സ്പോട്ട് അവരുടെ വയറും പൊക്കിളും ആയിരിക്കും
338,Not Misogyny,"ഉത്സവത്തിന് എഴുന്നള്ളിച്ച തെച്ചിക്കോട്ടുകാവ് രാമചന്ദ്രൻ ഇടഞ്ഞു
പാപ്പാന് ഗുരുതരമായ പരിക്ക്

*ആനപ്രേമി
ഇടഞ്ഞുന്ന് അല്ല....
കുരുമ്പ് കാണിച്ച് എന്ന് പറയണം..!"
732,Misogyny,പടത്തിൽ ചാൻസ് കുറഞ്ഞ അനുചേച്ചിയോട് നിന്റെ ചന്തിയും പൂവും എനിക്കും എന്റെ പാർട്ട്നർക്കും ചപ്പി നുണയാൻ തരുവാണേൽ അടുത്ത ബിഗ് ബജറ്റ് പടത്തിൽ ചാൻസ് തരാമെന്ന് പറഞ്ഞ ഡയറക്ടർക്ക് അയച്ചുകൊടുക്കാൻ കൂതിയുടെ ഫോട്ടോ എടുപ്പിക്കുന്ന അനു
710,Misogyny,സ്കേർട്ടിന്റെ മുകളിൽ ക അവളുടെ തുട തടവി തുടങ്ങുമ്പോൾ സ്കേർട്ട് പൊക്കി കാൽ | അൽപ്പം വിരിച്ചു പിടിച്ചപ്പോൾ ജട്ടിയുടെ മുകളിൽകൂടെ അവളുടെ പൂറിൽ തടവാൻ തുടങ്ങിയപ്പോൾ ജട്ടി സൈഡിലോട്ടാക്കി വിരൽ ഒറ്റ തള്ളിനു അകത്ത് കയറി കന്തു ചപ്പികൊണ്ട് പൂറിൽ ആഞ്ഞടിച്ചപ്പോൾ അവളുടെ വെള്ളം പെട്ടന്ന് തന്നെ പോയി ആകെ നനഞ്ഞപ്പോൾ ന
767,Not Misogyny,"
അനിൽകുമാർ *
തട്ടം വേണ്ടെന്ന് പറയുന്ന പെൺകുട്ടികൾ ഉണ്ടായത് കമ്മ്യൂണിസ്റ്റ് പാർട്ടി കാരണം
ആണത്..!
എംവി ഗോവിന്ദൻ

ഒന്ന് മിണ്ടാതിരിക്കട.. 10D"
481,Misogyny,ഭാര്യ ആയിട്ട് ഒന്നും നടക്കുന്നില്ല എന്ന് ഇടക്കിടക്ക് സങ്കടം പറയുന്ന മുതലാളിയുടെ റൂമിലേക്ക് കടന്നപ്പോൾ ഭാര്യയെ ഒറ്റക്കാലിൽ നിർത്തി കളിക്കുന്നത് കണ്ട വേലക്കാരി* നിർത്തിയങ്ങു അടിക്കുവായിരുന്നല്ലേ...
796,Not Misogyny,"ഗോവിന്ദൻ ഇഷ്
ED കള്ള കേസ് എടുത്തു സഹകരണമേഖലയെ തകർക്കാൻ ശ്രമിക്കുകയാണ്

സഹകരണ മേഖലയിലെ പണം കൊണ്ട് പോകാനാണ് അവർ ശ്രമിക്കുന്നത്. ശക്തമായി പ്രതിരോധിക്കണം
കരുവന്നൂരിലെ ജനങ്ങൾ
മലയാളം
ഞങ്ങൾ ഒറ്റയ്ക്ക് കൊണ്ട് പോകേണ്ട പണമാണവർ ."
38,Misogyny,"ശോ.. ഇത്രയൊക്കെ അനുഭവിച്ചിട്ടും എന്തിനാ ആ കുട്ടി അവിടെ തന്നെ നിന്നത് അല്ലെ..? അത് തന്നെ കഷ്ടമായിപ്പോയി..!!
പിന്നേ നീ അറിഞ്ഞോ.. നമ്മുടെ രമണിയുടെ മോള് ഇപ്പോ വീട്ടില് വന്ന് നിൽപ്.. ആ പെണ്ണിന്റെ അഹങ്കാരം 
കൊണ്ടാണെന്നാ കേൾക്കുന്നത്."
27,Misogyny,ഒരു ശരാശരി ആൺകുട്ടികളുടെ ആഗ്രഹങ്ങളിൽ ഒന്നാണു ഇത് പൊലെ ഉള്ള ചരക്ക് ആന്റിയെ ഒന്ന് കളിക്കുക എന്നുള്ളത്.
177,Not Misogyny,"കുട്ടിക്കാലത്തു ക്രിക്കറ്റ് കളിക്കുമ്പോൾ കളി കഴിയാൻ സമയത്ത് ഞാൻ പോവാണ്, എനിക്ക് ചെന്നിട്ട് റേഷൻ കടയിൽ പോവണം.... 
okk do, നാളെ കാണാം... എടാ അവന്റെ ബാറ്റിംഗ് കഴിഞ്ഞതാണ് ഫീൽഡ് ചെയ്യാതെ മുങ്ങുകയാണവൻ...!"
954,Not Misogyny,ഇതിന് മാത്രം പിള്ളാരെ ഇവർക്കെങ്ങനെ cilşma??....
234,Not Misogyny,സിനിമയിൽ ചേട്ടനും അനിയത്തിയും ജീവിതത്തിൽ അനിയത്തി അച്ഛൻ കൊണ്ടുവന്ന പഴംപൊരി എവിടെടാ സത്വമായിട്ടും എനിക്ക് അറിഞ്ഞുടാ .
947,Not Misogyny,"ഭാവിയിലെ ഒരു ക്രിക്കറ്റ് ഗാലറി
6
Dont Shawnton Camera Bo This I An Wong From Home
Opin Ojayan Kasilkadast
JAI SHRI RAM
4"
33,Misogyny,"*ഭാര്യ ചേട്ടാ.. ഒരു സന്തോഷ വാർത്തയുണ്ട്.. ഞാൻ നാലുമാസം ഗർഭിണി ആണ്. *ചേട്ടാ..ചേട്ടാ.. ഇതെന്താ ഞാൻ ഗർഭിണി ആണെന്നറിഞ്ഞിട്ടും ചേട്ടനൊരു സന്തോഷം ഇല്ലാത്ത
*ഭർത്താവ്  ഞാനെന്തിനാ സന്തോഷിക്കണെ..നമ്മുടെ കല്യാണം കഴിഞ്ഞിട്ട് രണ്ട് മാസമല്ലേ ആയുള്ളൂ.."
146,Not Misogyny,"*ലെ സിംഹം ഒന്ന് ഒച്ച വച്ചിരുന്നെങ്കിൽ, ഒന്ന് നിലവിളിച്ചിരുന്നെങ്കിൽ ആ നിമിഷം ഞങ്ങൾ ഉണർന്നേ...."
122,Not Misogyny,"വീട്ടിൽ നിന്നു ടൂർ പോയിട്ട് വന്നതിന് ശേഷം “ചേട്ടൻ അച്ഛൻ വേണ്ടച്ചാ ഞാൻ നോക്കാം നിന്റെ ഫോൺ കാണട്ടെ
 ടൂർ തന്നെയാണോ പോയത് എന്നെനിക്കു സംശയം ണ്ട് ഗാലറി Surya kiran NAUGHTY b.com/MROLLS ഇതിൽ ഫുൾ തുണ്ട്
 ആണല്ലോടാ നീ ആരാ XXX |
 വിഡിയോസിന്റ ബ്രാൻഡ് അംബാസിഡറോ"
973,Not Misogyny,"ഒടുവിൽ സ്ട്രെക്ചറിലാണ് നെയ്മറെ പുറത്തേക്ക് കൊണ്ടുപോയത്. #neymar #FIFAWorldCupQualifiers i mathrubhumi.com നെയ്മർക്ക് വീണ്ടും പരിക്ക്; തിരിച്ചടി ഇന്ത്യൻ ആരാധകർക്ക് മുംബൈ സിറ്റിയും, അൽ ഹിലാലും തമ്മിലുള്ള മത്സരത്തിൽ ഇന്ത്യയിൽ എത്തില്ല എന്നല്ലേ അതിനർത്ഥം"
877,Not Misogyny,"എല്ലാവർക്കും ജർമ്മൻ സുൽത്താന്റെ ഹൃദയം
OZIL സ്പെഷ്യൽ
നിറഞ്ഞ
മുബാറക്ക്"
327,Not Misogyny,"30 വർഷം ഗൾഫിൽ പണിയെടുത്ത് അയച്ചു കൊടുത്ത കാശുകൊണ്ട് പണിത വീടിന് ഗിഫ്റ്റ് ഓഫ് ഗോഡ് എന്ന ബോർഡ് വെച്ച കണ്ട
പ്രവാസി
"
382,Not Misogyny,"ഇന്നലെ മഴയോടൊപ്പം ഇടിവെട്ടിയപ്പോൾ വീട്ടിലെ ടീവി അടിച്ചുപോയി
ശ്രീഹരി
ഇന്ന് രാവിലെ ഫോൺ കയ്യിൽനിന്ന് വീണ് Display അടിച്ചുപോയി"
854,Not Misogyny,"വിദ്യാർത്ഥികൾ
പ്രധാനാധ്യാപകർ.
വിദ്യാഭ്യാസ മന്ത്രി.
കുട്ടികൾക്ക് ഊണ് ഇത്രം പോരാ..അപ്പോൾ ഇതിന്റെ "" ചിലവ്.?? Martin 
പാലും മുട്ടയും കൊടുക്കണം...
Telsamx
ചിലതൊന്നും വേണ്ട. ഇതെന്റെയൊരു ഔദാര്യമായി കരുതിയാൽ മതി.

"
312,Not Misogyny,"
സിംഗ്
കഴിഞ്ഞ കളിയിൽ...!
ഇന്നലത്തെ കളിയിൽ…"
307,Not Misogyny,"മലയാളം ട്രോൾ
മാസ്റ്റേഴ്സ് 
രാഷ് ഡ്രൈവ് ചെയ്യുമ്പോൾ എന്നെ തെറി വിളിക്കുന്ന മറ്റ് ഡ്രൈവർമാർ. 
*ഞാൻ
എൻ്റെ ഭാര്യ (നിഷ്)
എല്ലാവരും കൈ പൊക്കി കാണിക്കുന്നുണ്ടല്ലോ? ഫ്രണ്ട്സ് ആണോ?"
491,Misogyny,"*ചങ്ക് ആദ്യമായി പടക്കകടയിൽ പോയ ഒരു മണിക്കൂറിനല്ലേ ഞാൻ കാശ് തന്നേ.. ഇതിപ്പോ 5 മിനുട്ട് പോലും ആയില്ലല്ലോ. *പടക്കം സാരമില്ലടാ.. അടുത്ത തവണ നോക്കാം 
ബാക്കി സമയത്തിന് നമുക്ക് ലുഡോ കളിച്ചാലോ? എഴിച്ചു പോടാ .."
720,Misogyny,ആ സാരി ഇച്ചിരികൂടെ ഒന്ന് മാറ്റിയായിരുന്നെൽ ഒരു കിളിന്ദ് ഊന്നു വട കിട്ടിയേനെ 
913,Not Misogyny,"ദേശീയ അവാർഡ് കോർട്ട് മികച്ച ചിത്രം
COURT

കങ്കണ റണാവത്ത് നടി

സഞ്ചാരി വിജയ് നടൻ"
375,Not Misogyny,"ആടുജീവിതത്തിന്റെ സെറ്റിൽ എല്ലാവരും മട്ടൻബിരിയാണി കഴിക്കുമ്പോൽ കഞ്ഞിയും മുളകും കഴിക്കുന്ന
* പൃത്വിരാജ്
"
561,Misogyny,ചില വീടുകളിലെ കാഴ്ച എന്തെന്നാൽ നല്ല മുട്ടൻ ചരക്കായ പെണ്ണും അവളെ വേണ്ടപോലെ ഉപയോഗിക്കാത്ത മൊണ്ണയായ കെട്ടിയോനും
317,Not Misogyny,"മോദി കുരുക്ഷേത്ര യുദ്ധഭൂമിയിലെ ശ്രീകൃഷ്ണനെപ്പോലെ
· ശോഭ സുരേന്ദ്രൻ -
*ശോഭ
ഞാൻ കണ്ടു, ഞാനേ കണ്ടുള്ളു...!"
240,Not Misogyny,"ഡി കാപ്രിയോയെ പോലെ ഭാഗ്യം കെട്ടൊരു മനുഷ്യൻ ലോകത്ത് വേറേ കാണില്ല അതെന്താ പുള്ളിക്ക് ഇത്തവണ 
ഓസ്കാർ കിട്ടിയല്ലോ .0. ദുബായ് ആറ്റുനോറ്റ് കിട്ടിയ ഓസ്കാറിന്റെ വാർഷികം ഒന്ന് ആഘോഷിക്കാൻ നാലു വർഷം കാത്തിരിക്കണ്ടേ ഹു.."
29,Misogyny,ചക്ക മുലയും കമ്പി മുഖവും സീരിയൽ അമ്മായി
165,Not Misogyny,"തമിഴ് മാരി•  
മാരി..കൊഞ്ചം നല്ല മാരി,ാമ്പ തറ മാരി..
• മലയാളം മാരി
മാരി..
സ്നേഹ കടൽ മാരി,ആലി പഴം മാരി"
905,Not Misogyny,ദാസേട്ടാ ഒരു സെൽഫി
705,Misogyny,കരിംപൂരി എന്ന വാക്കിനോട് 100 ശതമാനം നീതി പുലർത്തിയ ഒരുത്തി ഉണ്ടെങ്കിൽ  അത് ഐശ്വര്യ രാജേഷാണ്
109,Misogyny,"പടത്തിലും സ്റ്റേജിലും എല്ലാം കാണിച്ചു ആദ്യം പ്രൊഡ്യൂസറുമാരെ കമ്പിയാക്കി ദാ ഇപ്പൊ ലൈവിൽ വന്ന് ആ ഉരുണ്ട മുലയും വിടർന്ന ചാലും.. 
ചെറിയ ചാടിയ വയറും കുഴിഞ്ഞ പൊക്കിളും കാണിച്ചു നാട്ടിലുവമ്മാരെയെല്ലാം കംബിയാക്കുന്നു"
616,Misogyny,ട്യൂഷൻ ക്ലാസ്സിൽ സ്ലീവെലെസ്സ് ഇട്ട് വരുന്ന പെണ്ണിന്റെ കൈ പോകുമ്പോള്‍ അവളുടെ വിയർത്ത കക്ഷം കാണാൻ കൊതിച്ചിരുന്ന ഒരു കുട്ടിക്കാലം നമുക്കുണ്ടായിരുന്നു
428,Misogyny,*ചങ്കത്തി ഞാൻ കാമുകിയെ കോളേജിന്റെ പുറകിൽ വെച്ച് കളിക്കുന്നത് ഒളിഞ്ഞു നോക്കുന്നം. 
565,Misogyny,മിക്ക ജിമ്മിലും കാണാൻ വലിയ ലൂക്കില്ലെങ്കിലും കട്ട മുലയും ഒതുങ്ങിയ ചന്തിയും ഉള്ള ഒരു ചേച്ചി കാണും ടൈറ്റ് ലെഗ്ഗിങ്ങ്സും ടീഷർട്ടും കൂടെ ആവുമ്പൊ തൃപ്തി ആയി
707,Misogyny,"ഇവളെയൊക്കെ ആണ് അക്ഷരം തെറ്റാതെ വെണ്ണ കുട്ടി"" കഴപ്പി"
392,Not Misogyny,"
ഞാൻ
മറക്കാം. ഞാൻ അൺഫ്രണ്ട് ചെയ്ത് പോകാം.. പക്ഷെ കഴിഞ്ഞ ജന്മത്തിൽ എന്നോ കണ്ട് കൊതി തീരാത്ത ഒരു മുഖമുണ്ട് മനസ്സഅത് മറക്കാൻ പറയരുത്... ഇനി ഒരു ശല്യമാകില്ല .. റിപ്ലൈ തന്നില്ലെങ്കിലും ആ മനസ്സ് എനിക്കറിയാം
അര മണിക്കൂർ മുന്നേ ഫേസ്ബുക്കിൽ ഫ്രണ്ടായ പെൺകുട്ടി SAIN"
539,Misogyny,നിർവൃതിയടയുന്ന ഭാര്യാ
478,Misogyny,വോട്ട് ചെയ്തു പുറത്തേക്ക് വരുന്ന നോളത്തി. ഈ സാർ എന്താണാവോ ഒരു ആക്കിയ ചിരി ചിരിച്ചേ..??? അയ്യോ... എല്ലാ വിരലിലേം നഖം വെട്ടാൻ മറന്നു.....!!
673,Misogyny,സത്യകഥ എന്തെന്നാൽ വീട്ടിലെ ചേട്ടന്റെ ഭാര്യയോ അല്ലെങ്കിൽ ആന്റിയോ ഷാൾ ഇടാതെ ഇങ്ങനെ നടക്കുമ്പോൾ അവളുടെ വീർത്ത മുലയുടെ ഷേപ്പു ചന്തി രണ്ട് സൈഡിലൊട്ടും കിടന്ന് അടിക്കുന്നതു ആസ്വദിച്ചിട്ടുള്ളവരാണ് നമ്മളെല്ലാം
166,Not Misogyny,പച്ച തെറി ഫാമിലി ഗ്രൂപ്പിൽ സെന്റി പോയി. തിരക്കിട്ട് delete ചെയ്തപ്പോൾ delete for everyoneന് leo_delete_for_me_cl_cl.!!!
340,Not Misogyny,"പശുക്കളുടെ
അടുത്തുനിൽക്കുക, അവയുടെ കണ്ണിലേക്കു നോക്കുക
കൃഷ്ണ കുമാർ പറയുന്നു

പശു
ഇതെന്ത് @"
700,Misogyny,"നമ്മുടെ ഒക്കെ നാട്ടിൽ കാണും ഇത് പോലെ ഒരു ചരക്ക് അമ്മ മകൾ കോമ്പിനേഷൻ  
നിങ്ങൾക്കും ഇല്ലേ?"
251,Not Misogyny,"എടീ നീ മാത്രം എന്താ എനിക്ക് രാഖി കെട്ടി തരാത്തത് ?
ഇതിൽ കൂടുതൽ ക്ലൂ എനിക്ക് ഇനി തരാൻ കഴിയില്ല... എന്താ കാരണം എന്ന് നീ തന്നെ മനസ്സിലാക്കിക്കോ...?
ചിലപ്പോൾ രാഖി തീർന്നു കാണും .."
497,Misogyny,ചങ്കത്തിയെ സ്ഥിരം വിളിച്ചു ശല്യം ചെയ്യുന്നവന്റെ നമ്പർ പബ്ലിക് ടോയ്ക്കെറ്റിൽ ഇട്ടശേഷം
883,Not Misogyny,"ഞാൻ ഫുൾ ടൈം വാടുപ്പിൽ online ആണെന്ന് ആ പറഞ്ഞത്?
ഞമ്മള്
ഫുൾ ടൈം ആക്റ്റീവ് ആണെന്ന്
ആരാ പറഞ്ഞത്?
ഞമ്മള് തന്നെ
ഇതിലൊക്കെ ഞാൻ ഓൺലൈൻ | ആണെന്ന് ആരാ കണ്ടത്?
അതും ഞമ്മള്
ഇനി എ കോപ്പേ ആൽ ഫുൾ ടൈം ഓൺലൈൻ ഉള്ളത്?
അത് നിങ്ങള് !"
421,Misogyny,യൂട്യൂബിൽ നോക്കി വെളുക്കാൻ പേസ്റ്റ് മുഖത്തു തേച്ചതിനു അമ്മ വഴക്കുപറഞ്ഞപ്പോൾ.. ഞാൻ* അതിനു ഞാൻ പല്ലുതേക്കാൻ പേസ്റ്റ് എടുക്കുന്നില്ലല്ലോ.
757,Not Misogyny,"
കരുവന്നൂർ ബാങ്കിനെ എനിക്ക് ഭയങ്കര വിശ്വാസമാണ്....
REC
75851
അതുകൊണ്ട്തന്നെ ഇപ്പോൾ ഞാൻ ഒരു ലക്ഷം രൂപ നിക്ഷേപിച്ചു, ഇനിയും ലക്ഷങ്ങൾ നിക്ഷേപിക്കും...
*
ലോകത്തിലെ തന്നെ ഏറ്റവും സുരക്ഷിതവും വിശ്വസ്തതയുമുള്ള ബാങ്കാണ് കരുവന്നൂർ ബാങ്ക്...."
279,Not Misogyny,"വടംവലിക്ക് ചങ്കിനെ വിളിച്ചപ്പോൾ
ഡാ നീ വരുന്നില്ല.
എനിക്ക് തള്ളയല്ലേ അറിയൂ.. * വലിക്കാൻ അറിയില്ലല്ലോ"
19,Misogyny,"# ഭാര്യ  ഇക്കാ ഞാൻ 4-5 ദിവസം എന്റെ വീട്ടിൽ പോയി നിക്കട്ടെ അവിടെ ഉമ്മ ഒറ്റക് ഉള്ളു.
 #ഭർത്താവ് അള്ളായ് നീ പോയാൽ ഞാൻ ഇവിടെ . ഒറ്റക്ക് ആവില്ല.. കുഴപ്പമില്ല നിനക്ക് പോകാൻ ആഗ്രഹം ഉണ്ടെങ്കിൽ പൊക്കോ"
195,Not Misogyny,കണക്ക് ബോർഡിൽ ചെയ്യാൻ പറയുമ്പോൾ  ലെ നമ്മൾ കണക്ക് സാർ
321,Not Misogyny,"
ആരാടാ അത്...!
ഞാൻ പു...!
പുലി, സിവനേ പുലി…"
723,Misogyny,ഒറ്റ വികാരം
928,Not Misogyny,"രണ്ടുദിവസം കൊണ്ട് കേരളത്തിൽ നിന്ന് മാത്രം 18+ കോടി നേടി
ചുരുക്കിപറഞ്ഞാൽ ഈ വീക്കെൻഡ് കഴിയുന്നതോടെ 50 കോടി നേടും"
658,Misogyny,വീട്ടിലെ ചെറുപ്പക്കാരി ആയ വേലക്കാരിയുടെ മുന്നിൽ മു ഊരിയിട്ട് പോയി നിന്നു അവൾ തുണി വിരിച്ചോണ്ട് നിന്നപ്പോൾ പുറകിൽ പോയി സാരിയുടെ സൈഡിൽകൂടെ കൈ കയറ്റി പൊക്കിളിൽ വിരലിട്ടു പിടിച്ച് തറയിൽ കിടത്തി ചുണ്ട് ചപ്പി വലിച്ച് സാരി പൊക്കി തുട തടവികൊണ  കഴുത്തിൽ നക്കി ചെവി ഉരുഞ്ചി വലിച്ച് അവളുടെ ജട്ടിയുടെ മുകളിൽ കൂടെ പൂറു തടവി
610,Misogyny,"ജീവിതത്തിൽ ഒരിക്കൽ എങ്കിലും ഇങ്ങനെ സാരിയുടുത്തിരുന്നു,സംസാരിക്കുന്ന ഒരുത്തിയുടെ വട അമുക്ക് കിട്ടിക്കാണും"
567,Misogyny,ഇവളുടെ ശരീരത്തിലെ 50% വെയ്റ്റും ആ തുള്ളി തുളുമ്പുന്ന ചന്തികളിൽ ആയിരിക്കും എന്നത് തീർച്ചയാണ
49,Misogyny,"ഓട്ടോഡ്രൈവറോടൊപ്പം ഒളിച്ചോടിയ ഗൾഫുകാരന്റെ ഭാര്യ ഇലക്ട്രീഷ്യന്റെ കൂടെ മുങ്ങി
 നാട്ടിൽ പെണ്ണു കിട്ടാതെ യുവാക്കൾ വിഷമിക്കുമ്പോൾ....  മൂന്നു യുവാക്കൾക്ക് ജീവിതം കൊടുത്ത ആ കുട്ടിയുടെ നല്ല മനസ്സ് ആരും കാണാതെ പോകരുത്"
