image_id,labels,transcriptions
760,not-misogyny,Tshirt 499 /- only @colorbytharam Hoodie 750 /- ~19 Ella collection uh tharama irundha enaya panrathu DI 0 NIA READY
1626,Not-Misogyny,"ASMANI MC 5"" lrd Dp ல பாத்த Milk மாறி இருக்க Story ல பாத்த Silk மாறி இருக்க. (hat Fake Id) நேர்ல பாத்த Hulk மாறி இருப்பன்  மூதேவி"
1368,Misogyny,When MamaBrings HisGangoffiends IopchelamlaEnb fiPottachLAAnikuEnakuEpdi VailayeKanfiuhEduthaygAghemarilvanungaluku senfiuidudisonalambamatranunga SaraPottachiAyoVafyaThorandhabaful PolubVidumanungaPPolayeUsheravaia ThorakamaMunfilayevangianum op
1154,Misogyny,S00O0G SCV^LG^1 ELLAME PERFECT A IRUNDHA ENAPA PANRADHU
625,not-misogyny,என்னடா வர வர என் கண்ணுக்கு amala shaji லாம் அழகா தெரியுறா   ?? ~காஜீ முத்திருச்சுனே
1672,Not-Misogyny,நாளை முதல் [மே 8] அனைத்து சாதாரண நகரப் பேருந்துகளிலும் பயணம் செய்ய மகளிருக்கு இலவசம் முதல்வர் முகஸ்பாலின் முதல் ~கபழுத்து private bus conducfors Nallaila irunthu orufhiyum namba busla Yera maftolunga
526,not-misogyny,NI1 I1I00aIa1 18S Su/g9lo1 8101101036 S 0aடo 8 W8S (argoted booause he Was srilankan tamilan andhad faced many issue heoauseheis from srilana! Muttiah Mualitharan kulvlo poriya Inspiational haokstory ah
1556,Not-Misogyny,60| ளவதெல்லாம் உயர்வுள் அரண்ராசா பாமர SK girlis fans UC PRIYAs அந்த இடத்தில இருந்து இருந்த uட ஐயோ! எப்படி இருந்து இருக்கும்! நான்
1443,Misogyny,மனைவி எவ்வளவு அழகாக இருந்தாலும் அடுத்த பெண்ணை திரும்பி பார்க்கிறது ஆண்களின் குணம. யாமிருக்கை பயமDroi 1 லட்சத்துக்கு பட்டு புடவை எடுத்தாலும் பக்கத்தில் உள்ள. பொண்ணோட புடவை நல்லா இருக்கான்னு நீங்கள் பாக்குறது லலையா அது மாதிரி தான் இதுவும்சும்மா பாக்குறோம்
168,not-misogyny,Muthu Kutti Just now #muthumc me En pola Enga porathu bug
883,not-misogyny,0r Flipkart & amazon ha vida products enga kammi rate la kedaikum enamma ooru kadai page la kedaikum paarunga Apadiye follow panitu ponga poi
1680,Not-Misogyny,குழம்புல உப்பே இல்ல நீயெல்லாம் ஒரு பொம்பளயா
1439,Misogyny,பேருந்து ஓட்டுநர் பணியிலிருந்து நீக்கப்பட்ட கோவை ஷர்மிளா தற்போது போர் விமான ஓட்டுனராக சேர்ந்துள்ளார் Blazzy Rajesh
1465,Misogyny,Chats Priya online Hi di eanna panra 1030 FM1 - Padichudu iruken da ne =anna panra 10:3 F'1 Nan adichuttu iruken 1032 F'1  sorry padichuttu iruken 1032 F'1  ok da sekaram adichuttu pooi thunku 1032 F'1 sorry padichuttu pooi thungu 1032 F'/
1604,Not-Misogyny,Unga ponna ungala vida nala pathupen sir GOLDMINE WaSiMeMeS Samanthaa dead Samantha daddy Vijay
187,not-misogyny,"Muthu Kutti m ""உங்க வாழ்க்கையை அழகாக அமைக்க பல கஷ்டங்களை பார்த்தவரு டா உங்க அப்பா #muthumc GCDNIN அம்மா DDMINES"
983,not-misogyny,#Amma Epo dq veTuKu voruvd? 8 manika varen ma Time 8.01 Mom .
1185,Misogyny,அப ம Cu வய் ஆட்டோ பன்னால்தான் எழுதினீங்க எழுதனீங்க இப்போ ஆண்டி பின்னாலயும் எழுத ஆரப்பச்சட்டாங்க. 99
49,not-misogyny,+*+ BYrs Old me ** Me playing with pakkathu veetu Nibbi !! Me நமக்கு ன்னிக்கு கல்யாணம் !! டும்டும்டும் கல்யாணம் முடிஞ்சுது னி பர்ஸ்ட்நைட் !! ஈடாடி தம்பி தம்பி
1149,Misogyny,OUI MO $ மருமகள் மாமியார் த னக்கு டீ போட தெரியுமா $ 0 டீ போட தெரியுமாவா  குக்கர்ல பால ஊத்தி மூணு விசில் விட்டு அப்டியே பொங்கவிடுவோம்
928,not-misogyny,4567' Artistagonum nu movie lanadikanum nuosairukku but athukana chonce dhakidaikamattuthu Feature pilot short film idhula nalla chance tharanga
224,not-misogyny,Muthu Kutti Im *No body* Food bloggers with மாலடம் டம் மஞ்சரடம் டம் song Parota kum மாலடம் டம் song kum enna da samantham Hmuthumc [9 NUTHU MG dly
780,not-misogyny,Praba De Villiers @Prabaofficiat98 Veeran. Naalaiyum leave eduka thayaar aanan! IIUIIR FISTU
247,not-misogyny,Muthu Kutti Zm ஜோசியர்  உங்க பையனுக்கு பெண்களாள் சிக்கல் மற்றும் ஆபத்து ஏற்படலம் Single me அண்ணா ஏதேதோ சொல்றியேணா #muthumc 0
92,not-misogyny,For the next two mt Kozhukatta Sundal LEVEL Sundal Kozhukatta days LE VEL [#F =
1361,Misogyny,BestieEnadileggingslvlo TighTuhPoturuka FingeringaSenividalamnu KaivechaEnka MatikichudiAhhhSoftuh Irukudicloth KuthuvilakueShhhPoruki UnamoodEthalamnu PotuvandhaViralvecheOtaayaAkiruvapola LeggingsuhPavisikamWatchmanVaradhukula AvuthuMarathadilayeVechu RenduShotAdida
559,not-misogyny,PathuThalaopened to positive reviews ச5் continuous Blockbuster for Str
1060,misogyny,~மாமியார் சமைக்க தெரியுமா? புதுமருமகள் தெரியுமாவா  அடுப்ப பத்தவச்சு சுடுதண்ணிய காயவச்சு மேகி பக்கெட்ட கொட்டி அப்டியே கரண்டிய வச்சு அலசுவம்
519,not-misogyny,Stokes neenga ennaga ipd adringa P vishal_sammy_
741,not-misogyny,Rohini theatre after screening Leo trailer IIURR PIJII dpak 97 mt Matured fans Intha mari pandrapo dhn verupu aguthu
1045,misogyny,He : சாப்டியா !! She : இல்ல லேட்டாகும் ! He : ஏன் ? She : கல்யாணத்துக்கு அப்ரம் நீ வேல முடிஞ்சி லேட்டாதான வருவ அதான் இப்ப இருந்தே பழகிக்கலாம்ன்னு !!
1334,Misogyny,Ena da paakra? Paaka nalla ponnu mathiri iruka Pool oomba teriyathu nu nenachiya @ tamil troll Intha vidhya vaai vacha kanji kudikama po maata @tamiltroll Oru drop vidama kudukurathu than da gethu athunala than enna thevadhai nu solranda
1049,misogyny,மைன்ட் வாய்ஸ் : எதுக்கு வ அழுக்கு தண்ணிய டைனிங் டேபுள் மேல வச்சிருக்கா ..ம்ம் புரியல்லயே) ம னவி : என்னங்க ரசம் சாப்பிட்டிங்களா ? நல்லா இருக்கா ?
287,not-misogyny,Enaku irukka ella prechanaikkum dhooo Idhanala dhan E1 My phone L[V MEWE$ = LFVEL
710,not-misogyny,mt Today Happy valentine s 12:53 am Love you 12:53 am 12:54 am it /^ dharshan _ But as a friend 12:54 am HILMR GkP Message day LEVE[ MEME$  = = LEVEL
570,not-misogyny,Dharshan Just now Beef>>> chicken paneer dharshan  _ LEVEL MEMES _ = = VER^ LFVEL
1117,Misogyny,After Breakup: Exஉன் வாழ்க்கைல ன்னொரு அம்மாவா நான் வரலாமா? He: இருக்குற அம்மா போதும் நீ கௌம்பு .
446,not-misogyny,Mc Muriel Just now 88 Me to me unna yaara sperm race la win panna sonnathu #Mc_muriel
1046,misogyny,Mobile Wallpaper* Wp dp* யm MrJa mess Insta post* Aadhar Card pic*
1119,Misogyny,JOMTS OFCIAI mt * AMI MEHL> Coca5P5 mt
152,not-misogyny,Dharshan Just now Life was in stuck need to be productive ~Few minutes later opens private tab in browser #dharshanmc DUOPII Adar mmaleeo
5,not-misogyny,vishal_sammy_ Grownme still sayingsame Child me saying one day igrow up and celebrate valentines day
126,not-misogyny,"Muthu Kutti m ""உங்க வாழ்க்கையை அழகாக அமைக்க பல கஷ்டங்களை பார்த்தவரு டா உங்க அப்பா #muthumc GCDNIN அம்மா DDMINES"
1158,Misogyny,Lovie online Today Neri Hi di pondatti 12:03 PI/ Forwarded Hi da purusha 12:03 PM *He
647,not-misogyny,LEGEND movie streaming now in HOTSTAR EAGL Innum ennada paakureenga. Sattu puttunu ellam HOTSTAR pakkam vaangada
1142,Not-Misogyny,~ மாமியார் சமைக்க தெரியுமா ? ~ புதுமருமகள் தெரியுமாவா. அடுப்ப பத்தவச்சு சுடுதண்ணிய காயவச்சு மேகி பக்கெட்ட கொட்டி  அப்டியே கரண்டிய வச்சு அலசுவம்
1271,Misogyny,PMt larha memes Love Marriage சினிமாவ காதலிக்காதிங்கடா பொண்டாட்டியா வரவ நம்மக்கு நல்லா சமைச்சி போடுவானு கற்பனைய அதிகமாக வளர்த்து நம்பிடாதிங்கடா . .a0058 Arrange Marriage வீட்ல பாத்து வைக்ர பொண்ணுங்க கூட ஓரு நேரம் ல்லன்னா ஒரு நேரம் மனுசனா மதிச்சி சமைச்சி போடுராளுங்க.காதலிச்சி கல்யாணம் பன்னா எல்லா நேரமும் நம்மளையே கழைக்&o விட்ருவாளுங்கடா  . பாத்து நம்மள
939,not-misogyny,Adhu Ennamo Theriyala Daily 1.5 GB Net gaali Aana apparam dhaan Life la next enna panna porom nu Thonuthu 100 IQ.Oo
1331,Misogyny,IPO EDHUKU ENNODA LEGINS KALATRA ULLA JETTI PODALA DA @tamit  troll . 2 MERROMBA VASADHIYA POCHU '
984,not-misogyny,"When maths teacher take over class after lunch bell ring 4 -=!+ /U =^7=?8/+"": Keuia Payyenisir memes 1 ச64"
727,not-misogyny,Polimer ஞாயிற்றுக்கிழமைகளில் முழு NEHNS ஊரடங்கு தமிழக அரசு அறிவிப்பு தமிழகத்தில் அமலுக்கு வருகிறது இரவு நேர ஊரடங்கு ஒன்றாம் வகுப்பு முதல் 9ஆம் வகுப்பு வரை நேரடி வகுப்புகள்க்குத் தடை Kovama Kuttyma Repeab U
1676,Not-Misogyny,அனைத்து மகளிரும் 400 சாதாரண கட்டண நகரப் பேருந்துகளில் மே 8 முதல் கட்டணமில்லாமல் பயணிக்கலாம் முதல்வர் மு. ஸ்டாலின் பெண்கள் USGA நன்றி முதல்வரே இன்னும் சிறப்பாக செயல்பட வாழ்த்துக்கள்
769,not-misogyny,sjstephen nol O5Tv Ithu enna periya bad word uh. Hostel la naanga pesuvom paaru vaartha . @iam
391,not-misogyny,Muthu Kutti m Good news~ veetu vadagai unga bank account la vite Bad news enna theriuma naanga next month veedu panna porom #muthumc 0 me *HOUSD OWNER potu gaali
1359,Misogyny,Annienaku mood aahiruku 8 8 8 Sarisu ^ kaatu 8 aio annna ungala kaiadichu vidurean okkஇ nu = : ம ' en purusan vandhuruvan aavarathukulla mudinchutumai sariquick aah panudaa
1684,Not-Misogyny,Women' $ Respect Women nu sonna morfum pothathu dlso Respect Men who Respecis Women Happy Day
1589,Misogyny,^ she marrying a toxic guy * Her wtsp status இப்போ அவன் என்னய அடிச்சிட்டு போறான் திரும்பி வந்து கொஞ்சுவான் . அதுக்கு ங்க ருக்கணும் After an hour She : நான்
1171,Misogyny,மிகச்சிறந்த குடும்பஸ்தன் என்பது யாதெனில் கடை சிவரை மனைவியை அடிக்காமல் இருப்பது மட்டுமல்ல மனைவியிடம் அடிவாங்காமல் இருப்பதும்தான்
1280,Misogyny,ohhh appo night ne enga room kulla vanthathu enna ammanama paathu anubavikka married akka Un mama poola paathu oomba vanthiya inumada antha pool oombura buthi pola unaku illaya
1004,not-misogyny,mட எரிச்சாலும் திரும்ப திரும்ப எழுந்து வர phoenix bird எங்க SILUKKU DOT COM முட்டை போட்டதுக்கே குண்டி வலிக்குதுனுபுலம்புற நீ எங்க
848,not-misogyny,தீபாவளி அன்று UgaMo CAreadogs ~டேய் எல்லை மீறி போறிங்கடா
505,not-misogyny,Muthu Kutti Just now Seri neram aachu phone ah vachutu padukalam *Kosu continuously biting me* My phone  #muthumc
1106,Misogyny,ஏங்க காக்கா கத்துது
842,not-misogyny,ஐVarun Enna Enna soltranga paarunga
1727,Not-Misogyny,மனைவி: உ ங்களுக்கு ராணி ஏற்கனவே ஒரு மனைவி இருக்கான்னு கல்யாணத்துக்கு பே என்கிட்டே சொல்லலை. கணவன்: சொன்னேனே மறந்துட்டியா மனைவி: எப்போ சொன்னீங்க.நீங்க சொல்லவே இல்லை . f/ 40-- கணவன்: உன்னை ராணி மாதிரி வச்சி காப்பாத்துவேன்னு நான் சொல்லலை ன்னு முன் ஏன்
1401,Misogyny,WhenChambitouches akka pussy AAKka AKkaePesitutukumbothukeela yenda kai vaikrasshhaaaroom Kulla vaa Kalatitu Katren thechi vidu
69,not-misogyny,hari Harkara Romantic thriller critically acclaimed Rendum veragenreana worth to watch Dirty
1702,Not-Misogyny,அனைத்து Pake I க்களுக்கும் மகளிர் தின வாழ்த்துக்கள் நல்
747,not-misogyny,Gudboy Arun Just now  8-0 India (vs) Pakistan ODI WorldCup clash * Epdiyavadhu SemiFinal Select aagi vareega . Enga koda Match aadreega . Thothutu Karachi Airport poreega. Cini Mini Pakistan
721,not-misogyny,முகக்கவசம் அணியாத மாணவர் முகம் அப்துல் மை நிர்வாணமாக்கி முகத்தில் சிறுநீர் கழித்து போலீசார் விடிய தாக்கியதாக புகார் சென்னை கொடுங்கையூரில் மெடிக்கலில் பகுதி நேரமாக பணிபுரிந்துவிட்டு சைக்கிளில் வீடு திரும்பிக் கொண்டிருந்த சட்டக்கல்லூரி மாணவர் அப்துர்ரஹீம் மாஸ்க் அணியாததற்காக அபராதம் விதித்த போலீசாருடன் வாக்குவாதம் செய்ததாக காவல் நிலையம் அழைத்து சென்று இந்திரகுமார் என்ற காவலர் பூட்ஸ் காலால் உதைந்தும் இரவு முழுவதும் கொடூரமாக தாக்கியதில் முகத்தில் தையல் போடும் அளவு காயம் ஏற்பட்டதாக புகார் Ramnad Pasanga ARina MC Police ah irunthu enna venalum pannalam nammala evan keka poranu thairiyam ivangaluku ரஹீ விடிய
989,not-misogyny,current NINI Scenario @vijay serial trolls FOUER CIIAM AishuKorali viththakatruran Yemanthuratha!!G
662,not-misogyny,Dharshan Just now Seri ipo nee ride pannu Enaku theriyadhu da E1 Aiyoo epdi valathurukanga dharshan WEME$  EV[ = = VER^ LEVFL
1634,Not-Misogyny,Mama Ponnu Expectations IUNUB VECNUO Reality Onnu Kolanthaya Iruku Innonu Kolantha yoda Iruku
210,not-misogyny,After watching LGM movie Amma Me Semma movie la maa
639,not-misogyny,Enaku adhu venum Mang
127,not-misogyny,Ayya apdiye oru 20 years future la kondu vitrunga ennala indha pressure ah thaanga mudiyala mc Iட poi LEVEL WEME$ = = L[VEL
1598,Not-Misogyny,#girl- டேய் நான் உன்ன மட்டும் தான்டா லவ் பன்ற mt#meஅடேங்கப்பா
1153,Misogyny,All i want is Keel veetu aunty like her House owner like her Instagram Qun gaajukuLoru alavillayaadaa Pakkathu veetu ponnu like her Maadi veetu akka like her
1648,Not-Misogyny,#her Maamfyar Anga paarungadi en Marumagala evlo adakkama irukanuu US Gifls ்l VENKAT little# princess Apada nama performance paathu nambitangaa BoyS
1622,Not-Misogyny,என்னடிம்மா . கோவை நைட்டியால ஆண்களுக்குத் தான் அதிக பாதிப்பாமே! சனியன் கிழவி அது கோவை நைட்டி இல்ல
56,not-misogyny,IuUIIH /4ul m *Macha oru 5k GPAY panni vidu da plz* ~Bank balance =284 Me : paarthela en bank balance ah. vaikoosama enta 5k kekura #muthumc poi
517,not-misogyny,People who continuously sends reels AFRIN *Me இந்தா யாபுடி
1656,Not-Misogyny,அனைத்துமகளரும சாதாரண கட்டண பேருந்துகளில் மே 8 முதல் கட்டணமில்லாமல் பயணிக்கலாம் S]9 CQerkai pattia U ஆணடி 12பி பஸ் எத்தனை மணிக்கு வரும் எடுடாகைய. நானம் அம்பளதான் 7^ ~~ப நகரப்
1002,not-misogyny,Unga Boyfriend / Girlfriend partner ah Entha Lovers Ku epdi impress pantrathu nu therilaya Appo Entha Video Ungalukkutha! mc mt arithabenge #NEINGA #NAANU Full Video Link in Mv BIO Day
689,not-misogyny,Edhavadhu oru issue na ticket rise panalam ticketing tool hey issue na enna panrathu vishal_sammy_
1052,misogyny,பொதுமக்களிடம் இருக்கு வேண்டிய விழிப்புணர்வு  தரமற்ற உணவுகள் குறித்த புகார்களுக்கு 9444042322 வந்துஎன் பொண்டாட்டிய மொதல்ல கூட்டிட்டு போங்கசார் ! என்னத்த சமைக்கிறான்னேதெரியல !
1624,Not-Misogyny,கிச்சன்லே போய் பாத்திரத்தை கழுவுங்கன்னு ள்ள வச்சா. கைய வெச்சிக்கிட்டு சும்மா ல்லாம உப்பு . மிளகாய்த்தாள்
642,not-misogyny,Muthu Kutti March month full ah WFH vangi tharen nu thane sona #muthumc GOUDMINE *me *TL m
1264,Misogyny,நா ஆம்பள டா நானும் டா நா பொம்பள டா நானும்தான் டா
935,not-misogyny,*Teacher searching for stick to distribute answer sheet* *me and my Bois who throw it outside* TEILDBVHS~ SANDY MC
1340,Misogyny,*akka adhana paothan ena da inum Ihambi ya konum nu dress maothurupa vanthuruviye
456,not-misogyny,Sylesh $ Just now Ore stress ah irukul! Engachum trip pona nala irukum nu bank balance ah patha adhu innu stress agudhu LEVEL MEMES  = = VERA LEVEL
976,not-misogyny,சூரியன் Bro நம்பு Bro நா 149 மில்லியன்கிமீ அங்குட்டு தான் இருக்கேன் நானு NLHIFS ஏய்.நடிக்காத நீஎங்க வீட்டு மாடிலதான் ருக்க . க்கு ஏய்
1731,Not-Misogyny,இந்த லாக்டவுன் ல இருந்து நீ ரொம்ப மாறிட்ட வீடியோ கால் பன்னா கட்பன்னிவிடுற செத்துட போல இருக்கு மேக்கப்போடாமா என் முகத்தை நீ பாத்தா நிஜமாவே செத்துருவடா SAR லாம் ஐயோ
1550,Not-Misogyny,திருமண மேடையில் மண மகனுக்கு கொடுக்கப்படும் கடைசி வார்னிங் Ialwzsmle யாரேய பொண்ண கூப்பிடுங்கோ
1685,Not-Misogyny,Iomenls lantha pothumea 1 @IIESAHNII_ FUI_HEHIS udane singappelney nl status potruvengalea Day
202,not-misogyny,Maa shoulder laam romba valikkudhu konjam midhikiriya Mom innum night full ah phone ah non..... mt Illa vendamo LEVEL MEME5
1056,misogyny,my bro amma mom en ponnu super ah samaippa avalukku theriyatha disheh illa bro mind : antha pakki ku Maggi ya thavira vera eathum theriyathel seiya
106,not-misogyny,Macha vaa da tour polaam Pani Puri sapda kuda job venum ndra nelamaila irukken da 4 LEVEL MEME$ = = LFVEL
646,not-misogyny,know i am ugly but still used to adjust my hair and see myself in three different angle when i saw a mirror mt vishal_sammy_
726,not-misogyny,Letoile espiegle @mono_shalzp Me : No one can make me cry anymore Onions : Ahnn.. Ahnnn.... Kekkala. HODE CINE
913,not-misogyny,Kannamma PhotoGrid Ctயடு @மழ 9 -40 syrsoldme momn mc m- Enga pathiya colour appalam Bow Bow
363,not-misogyny,"BehindwoodsTv Clis 2 minutes ago Video link https Ilyoutu be/UBmmF7EPUJg Leo Hyena Fight Scene Making Thalapathy Full Body ஓட பனியில படுத்து சண்டை போட்டாரு"" Live Recreation THALAPATHY துடிச்சு போயிட்டாரு LEO HYENA DUPEINTERVIIEW HGHITSCBLIERECRBATON dharshan _ mu GoogerwY LEVEL MEMES  = = VE;^ LEVEL"
305,not-misogyny,Muthu Kutti 2d por thozhil movie* Nee inga ivaluku paathukaapu kudu Anga avan un aal ah thookitan #muthumc *in
1743,Misogyny,சின்ன வயசுல மிஸ்ஸுக்கு பயப்படுறதும் . Ialwzsmle யாரோ பெரிய வயசுல மிஸ்ஸஸுக்கு பயப்படுறதும் ஆண்களின் சாபம்
1758,Not-Misogyny,brofher sister relarionship expecfation நீ சொன்னால் எதையும் செய்வேன் தலையாட்டும் பொம்மையாவேன் reality sisrer கிளிப்பான் அவன் கிளிப்பான் ரிமோர்ட் கேட்டாலே தர மாட்டான் டிவி
1174,Misogyny,Me : பேசிட்டு இருக்கும் அம்மா வந்தாங்கனு கால் கட்பண்ணிட் உ ஏதும் கோவம் இல்லையே.! She சே சே.. இப்போ கோவப்பட போறேன் இத அப்புறம் ஏதாவது சண்டைக்கு பூஸ் பண்ணலாம்னு Note பண்ணி வச்சிப்பேன் ! 1( 79 0 போது டேனு னக்கு நான் ஏன்
1135,Misogyny,She: Lets breakup you da.. Good Bye He: ennachu Yean ipadi solra She Sorry Chellam maathi anupitan Hey Msg
1551,Not-Misogyny,Wife : நான் ஊருக்கு போய்ட்டா சாப்பாட்டுக்கு என்னங்க பண்ணுவீங்க Hus: சாப்பாடு கெடக்குது சாப்பாடு . மனுசனுக்கு நிம்மதி தான முக்கியம்
908,not-misogyny,school போயிட்டு வீட்டுக்கு வரும் #Road side dog # mom 90 Kids மே வங்க லாம் ங்க தான் இருப்பாங்க போது ி
857,not-misogyny,keka heka Dad* IBKA BEKA mட Kutty ilavarasi unnaiya Lemon tea sonnadhu en dha podhum Da Saamy poda thappu
28,not-misogyny,Hansika's Love Shaadi Drama streaming on Disney+Hotstar Enna dafirstepisode laiyeivala periya shockkudukuringa
1386,Misogyny,ANN HaaTaaaPalvan Ku orusllishiangauna? Ihukrchu Unaku 49!9-0 vARUTW mulkadmaMuPillamanseram alatu Oommh len Omicoiverataienaguunu
8,not-misogyny,When your office crush is on sick leave WE4 5 01 today L[VEL = LFV[- mr
1325,Misogyny,pasanga ellam rose kuduthu love solli lust ku approach pannuvanga nu than kelvi iruken friend akka nee ennada first meet laye flirt pani fun kulla kootitu pattu poita
1415,Misogyny,Chen thambi showshistongue skills @Kettavan memez 2.0 *Akka Sssbhoa mudiga ilukathada thambi @எbbmethovacலm
128,not-misogyny,Dharshan Just now mom Unuku ennada korachal uh. Unna yaaruku dhan pudikama irukum solu My fav one Enaku pudikadhae #dharshanmc My
572,not-misogyny,Maanadu VIKand next willbe Pathu Thala Growth ofstr over the years
48,not-misogyny,12.00 am Dei naan paka epdirukan 12:36 am Ne super la 12:37 am Epo paru manasa thirudikite iru 12:37 am 12:37 am Thirutu k 12:37 am11 Enna 12:38 am Thirudi solla vandhan auto crct agiduchidi 12:38 am o'hi
280,not-misogyny,Mc Muriel Just now Aiyaa unga Na ready edits lam kevalama irukku ya. Thayavu senji atha milk panratha niruthunga ya #mc_muriel Bdit guys
1530,Not-Misogyny,TUIBIRRTI _51000 011 OLLIYA IRUNIHALAUMI Cllouae  SUIMA NAGHUNIIRUIA lbesto COn GHAI KILAVI vivo Cum g@uttt S@uuamnua ANTHAPONNOONUMAVA DANGEA PAARULIKEPODUIEMEPANUNOKEIKALA UNAKUPIDIKALANAPAAKATHANEIOODIUIRU UNAKUAVALKILAVIPOLATERNUA DOCTORTAUNEYEACHECKPANIKA Wusis
923,not-misogyny,12th cbse board exams cancelled சி.பிஃஸ் இ. +2 தேர்வுகள் ஈத்து மத்தியஅரசு அறிவிப்பு IIINHR PIJTU சிபிஸ் இ +2 பொதுத்தேர்வுகள் ரத்து செய்யப்படுவதாக ஒன்றிய அரசு அறிவிப்பு JBEIG LE!S எபி். ப் 0 Gioi எற்து வாபனிச் படய்றியை மற்றுய் பயகாப்பிய் ஸவ Oucகொaப முடயாது பாதமா @charukeshmc cme(howrote o12students Sboardexams) Cமொe
673,not-misogyny,Me to my friend unaku mudi kammiya kottudha d She ipo kottradhu illa d two years ah Me edhu kottradhu ilayaa evala ketaalum enaku adhigama kottudhu enaku sotta theriyudhu ndra adhepdi unaku mattum kottama irukku BAWA BIIW LEVEL MEMES+ = = VER^ LEVEL
1068,misogyny,SII7 =liermom எண்ணைய ஊத்தியாச்சி ஊத்து ஊத்தியாச்சி இப்போ கடுகு போட்டாச்சி போடனும் பே ஈச்சி அடுத்து வங்காயம் வணக்கியாச்சி போட்டு நல்லா வணக்கு வண் க்கியாச்சி 6 6u~oி வேகவே மொதல்ல அடுப்ப பத்த ல்ல வைக்க சொல்லி கொடுங்க
1285,Misogyny,Machinan namala vida vayasula than perusu nu paatha Small age Anni Namma purusana vida perusathan vechi irukaaru
1157,Misogyny,Aunty டேய் நீ possessive கூட நான் பெருசா எடுத்துக்கல டா 5 ஆனா என் புருஷன் கிட்டயே பேச கூடாதுனு சொன்ன பாரு எல்லாரையும் மிஞ்சிட்ட daa வச்சது
22,not-misogyny,vishal_ sammy_ Avalotrollhatersvangiyum inaikuellarumparaturaalavukuvandhrukanga
1463,Not-Misogyny,இந்த வாரம் முழுவதும் நெருங்கிய சொந்தத்தில் 3 கல்யாணம் கோதவரி இன்னும் ஒரு வாரத்து டீ வெக்கறதுக்கு தவிர நீ அடுப்படி பக்கமே போக கூடாது. IWP memes 5://www facebook com v/ivptele --7-1- 0-0 07`
1613,Not-Misogyny,கில்லில திரிஷாவ லவ் பண்ணதும் அபியும் நானும் படத்துல திரிஷாவுக்கு அப்பாவா நடிச்சதும் ஒரே ஆளா.
732,not-misogyny,ஊரட முதல்வர் ன்று ஆலோசனை தமிழகத்தில் ஊரடங்கு நீட்டிப்பு தொடர்பாக முதலமைச்சர் முகஸ்டாலின் தலைமையில் று ஆலோசனை வகை ஒமிக்ரான் வகை கொரோனா பாதிப்பு தொடர்பாகவும் ஆலோசனை மேற்கொள்ள வாய்ப்பு @ganesh=rohit45 IIRHH PISTI *People Its finished! Go / will pack and get the things in a van ங்கு இன்ட புதிய
405,not-misogyny,LUXSruo Pride ofkollywood forareason!
179,not-misogyny,Muthu Kutti Just now Eppo da thunga pova ketta paiya #muthumc *my phone
738,not-misogyny,"மழை நிவாரண முகாமில் மோனிகா என்ற 1 வயது சிறுமிக்கு பிறந்தநாள் கொண்பாடிய துரைப்பாக்கம் போலசார் K8e""8 Thats what Heros do"
